Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
U2HE0105T,M4-CORE,16 23 40.062,-26 31 30.26,24,1995-04-04 12:28:17,1995-04-04 12:39:57,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,5461,1996-04-05 22:13:27,U2HE0105T,,,1.043
U2HE0106T,M4-CORE,16 23 40.062,-26 31 30.26,24,1995-04-04 12:43:17,1995-04-04 13:08:17,1500.000,WFPC2 ,PC1-FIX,F336W,3344.000,5461,1996-04-05 22:18:30,U2HE0106T,,,1.043
U2HE0204T,M4-CORE,16 23 40.063,-26 31 30.28,24,1995-04-05 11:22:17,1995-04-05 11:38:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-05 23:59:23,U2HE0204T,,,1.043
U2HE0109T,M4-CORE,16 23 40.064,-26 31 30.42,24,1995-04-04 15:41:17,1995-04-04 15:52:57,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,5461,1996-04-05 22:32:34,U2HE0109T,,,1.043
U2HE010AM,M4-CORE,16 23 40.064,-26 31 30.42,24,1995-04-04 15:56:17,1995-04-04 16:21:17,1500.000,WFPC2 ,PC1-FIX,F336W,3344.000,5461,1996-04-07 01:04:09,U2HE010AM,,,1.043
U2HE020AT,M4-CORE,16 23 40.064,-26 31 30.55,24,1995-04-05 16:12:17,1995-04-05 16:28:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 15:15:46,U2HE020AT,,,1.044
U2HE0107T,M4-CORE,16 23 40.065,-26 31 30.32,24,1995-04-04 14:05:17,1995-04-04 14:16:57,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,5461,1996-04-05 22:23:31,U2HE0107T,,,1.044
U2HE0108T,M4-CORE,16 23 40.065,-26 31 30.32,24,1995-04-04 14:20:17,1995-04-04 14:45:17,1500.000,WFPC2 ,PC1-FIX,F336W,3344.000,5461,1996-04-05 22:28:11,U2HE0108T,,,1.044
U2HE0209T,M4-CORE,16 23 40.067,-26 31 30.52,24,1995-04-05 15:50:17,1995-04-05 16:06:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 15:10:52,U2HE0209T,,,1.044
U2HE0208T,M4-CORE,16 23 40.068,-26 31 30.46,24,1995-04-05 14:36:17,1995-04-05 14:52:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 15:06:16,U2HE0208T,,,1.044
